TAC,Manufacturer,Model,HW-Type,OS,Year
35301903,AnyData,DTP-600W,modem,Amazon Kindle;linux,09/01/2009
35242002,Huawei,GTM600,modem,DP-230;digital picture frame;Linux,
35753901,Ubiquisys, Zone Gate,femtocell,linux,
