41701000,Siemens AG,S55  ,,,
44000000,Siemens AG,Prototype  ,,,
44004000,Nokia Mobile Phones Ltd,5140  ,,,
44191900,Siemens AG,C35i  ,,,
44194500,Siemens AG,M35  ,,,
44235100,Orbitel Mobile Comms Ltd,900  ,,,
44235100,Orbitel Mobile Comms Ltd,MPU-900-UK  ,,,
44235119,Orbitel Mobile Comms Ltd,900  ,,,
44239800,Panasonic Mobile Communications Co Ltd,EU1000  ,,,
44239887,Panasonic Mobile Communications Co Ltd ,EU 1000  ,,,
44242400,Ericsson Sweden,Hotline GM120  ,,,
44245000,Orbitel Mobile Comms Ltd,Mobiltelefon 334  ,,,
44250200,Orbitel Mobile Comms Ltd,Lisa 9010  ,,,
44253800,Samyang Electronics Co Ltd,T100  ,,,
44262700,Orbitel Mobile Comms Ltd,MPU-921-D  ,,,
44262800,Orbitel Mobile Comms Ltd,MPU-931-F  ,,,
44262900,Orbitel Mobile Comms Ltd,TMU-901-UK  ,,,
44262919,Orbitel Mobile Comms Ltd,901  ,,,
44271500,Panasonic Mobile Communications Co Ltd,EU1100  ,,,
44271600,Motorola Inc.,MicroTAC International 5080  ,,,
44274200,Motorola Inc.,INTERN 5200  ,,,
44274200,Motorola Inc.,MicroTAC International 5200  ,,,
44274207,Motorola Inc.,INTERN 5200  ,,,
44274240,Motorola Inc.,INTERN 5200  ,,,
44275500,Siemens AG,A11  ,,,
44276800,Mercury,M200  ,,,
44279500,Motorola Inc.,Storno CD520  ,,,
44279600,Motorola Inc.,Storno CD508  ,,,
44282300,Motorola Inc.,TMN5200  ,,,
44282400,Motorola Inc.,TMN5080  ,,,
44282900,Nokia Mobile Phones Ltd,Pinball/M300  ,,,
44282940,Nokia Mobile Phones Ltd,8210  ,,,
44283000,Motorola Inc.,D2 Privat 4012  ,,,
44284100,Panasonic Mobile Communications Co Ltd ,EU 2000  ,,,
44284100,Panasonic Mobile Communications Co Ltd,EU2000  ,,,
44284187,Panasonic Mobile Communications Co Ltd ,EU 2000  ,,,
44284400,Panasonic Mobile Communications Co Ltd,Vodafone Model GSM50  ,,,
44285300,Motorola Inc.,Arthur 2Watt  ,,,
44285400,Bosch Telecom,CARTEL SC  ,,,
44285400,CarTel,SC  ,,,
44285407,Bosch Telecom,CARTEL SC  ,,,
44287500,Motorola Inc.,SIP GSM  ,,,
