33015200,Sagem,RC858CG312-P5  ,,,
33015300,Sagem,RD845G312-P5  ,,,
33015400,Sagem,RD840G312-PO  ,,,
33015500,Sagem,G312POG312-PO  ,,,
33015600,Sagem,RD850G312-PO  ,,,
33015700,Sagem,RD857G312-PO  ,,,
33016000,Sagem,G312BO,,,
33016100,Sagem,RC800G312-BO  ,,,
33016200,Sagem,RC810G312-BO  ,,,
33016300,Sagem,RC820G312-BO  ,,,
33016400,Sagem,RC827G312-BO  ,,,
33016600,Sagem,RC830G312-BO  ,,,
33016700,Sagem,G312B5,,,
33016800,Sagem,RC805G312-B5  ,,,
33016900,Sagem,RC812G312-B5  ,,,
33017000,Sagem,RC815G312-B5  ,,,
33017100,Sagem,RC822G312-B5  ,,,
33017200,Sagem,RC825G312-B5  ,,,
33017300,Sagem,GS818G312-B5  ,,,
33017400,Alcatel,One Touch Easy HFHE1TV  ,,,
33017500,Alcatel,One Touch ClubHE1TV  ,,,
33017600,Alcatel,One Touch Club+HE1TV  ,,,
33017700,Alcatel,One Touch EasyHE1TV  ,,,
33017800,Alcatel,One Touch Easy 0.9ME1  ,,,
33017900,Alcatel,One Touch Club+HE1EFR  ,,,
33018000,Alcatel,One Touch View 0.9ME3  ,,,
33018100,Sagem,G313-B0,,,
33018200,Sagem,G313-B5,,,
33018300,Sagem,G313-P0,,,
33018400,Sagem,G313-P5,,,
33018500,Sagem,G41S-P,,,
33018600,Sagem,G41F-P,,,
33018700,Sagem,G41P-P,,,
33018800,Sagem,G41F-B,,,
33018900,Sagem,G41S-B,,,
33019000,Sagem,G314-B0,,,
33019100,Sagem,G314-B5,,,
33019200,Sagem,G314-B9,,,
33019300,Sagem,G314-P9,,,
33019400,Sagem,G314-P0,,,
33019500,Sagem,G314-P5,,,
33019600,Sagem,RC810G314-BO  ,,,
33019700,Sagem,RC815G314-B5  ,,,
33019800,Sagem,RC819G314-B9  ,,,
33019900,Sagem,RC820G314-B0  ,,,
33020000,Sagem,RC825G314-B5  ,,,
33020100,Sagem,RC826G314-B5  ,,,
33020200,Sagem,RC827G314-B5  ,,,
33020300,Sagem,RC829G314-B9  ,,,
33020400,Sagem,RC830G314-BO  ,,,
33020500,Sagem,RC835G314-B5  ,,,
33020600,Sagem,RC838G314-B5  ,,,
33020700,Sagem,RC839G314-B9  ,,,
33020800,Sagem,RC840G314-PO  ,,,
33020900,Sagem,RC845G314-P5  ,,,
33021000,Sagem,RC849G314-P9  ,,,
33021100,Sagem,RC850G314-PO  ,,,
33021200,Sagem,RC855G314-P5  ,,,
33021300,Sagem,RC859G314-P9  ,,,
33021400,Sagem,G412S-B,,,
33021500,Sagem,G412S-P,,,
33021600,Sagem,G412F-P,,,
33021700,Sagem,G412F-B,,,
33021800,Sagem,G412P-P,,,
33021900,Sagem,G413S-B,,,
33022000,Sagem,G413S-P,,,
33022100,Sagem,G413F-P,,,
33022200,Sagem,G413F-B,,,
33022300,Sagem,G413P-P,,,
33100000,Sagem,DC735,,,
33102600,Sagem,D41S-P,,,
33103600,Sagem,D41S-B,,,
33104300,Sagem,DC810D314-BO  ,,,
33104400,Sagem,DC815D314-B5  ,,,
33104500,Sagem,DC818D314-B5  ,,,
33104600,Sagem,DC819D314-B9  ,,,
33104700,Sagem,DC820D314-BO  ,,,
33104800,Sagem,DC825D314-B5  ,,,
33104900,Sagem,DC829D314-B9  ,,,
33105000,Sagem,DC830D314-B0  ,,,
33105100,Sagem,DC835D314-B5  ,,,
33105200,Sagem,DC839D314-B9  ,,,
33105300,Sagem,DC840D314-P0  ,,,
33105400,Sagem,DC845D314-P5  ,,,
33105500,Sagem,DC849D314-P9  ,,,
33105600,Sagem,DC850D314-PO  ,,,
33105700,Sagem,DC855D314-P5  ,,,
33105800,Sagem,DC859D314-P9  ,,,
33200500,Sagem,M22-F2,,,
33200600,Sagem,M22-FL,,,
33200700,Sagem,MC715M22-L2  ,,,
33200800,Sagem,M22-S2,,,
33201000,Sagem,M31-BO,,,
33201100,Sagem,M31-B5,,,
33201200,Sagem,M31-PO,,,
33201300,Sagem,M31-P5,,,
33201600,Sagem,M312-BO,,,
33201700,Sagem,M312-B5,,,
33201800,Sagem,M312-P0,,,
33201900,Sagem,M312-P5,,,
33202000,Sagem,MC935 EssentialM312-P5  ,,,
33202100,Alcatel,One Touch Easy DBBE1  ,,,
33202500,Alcatel,One Touch View DBBE3  ,,,
33202600,Sagem,MC836M312-B5  ,,,
33202700,Sagem,MC835M312-B5  ,,,
33202800,Sagem,MC825M312-B5  ,,,
33202900,Sagem,MC815M312-B5  ,,,
33203000,Sagem,MC850M312-P0  ,,,
33203100,Sagem,MC840M312-P0  ,,,
33203200,Sagem,MC810M312-B0  ,,,
33203300,Sagem,MC820M312-B0  ,,,
33203400,Sagem,MC830M312-B0  ,,,
33203500,Sagem,MC845M312-P5  ,,,
33203600,Sagem,MC855M312-P5  ,,,
33203700,Sagem,M312-P9,,,
33203800,Sagem,M312-B9,,,
33203900,Alcatel,One Touch CBBE1  ,,,
33204000,Alcatel,One Touch Max DBBE1  ,,,
33204100,Alcatel,One Touch Easy DBBE1  ,,,
33204200,Alcatel,One Touch Easy DBBE1  ,,,
33204300,Sagem,M313-BO,,,
33204400,Sagem,M313-B5,,,
33204500,Sagem,M313-B9,,,
33204600,Sagem,M313-P5,,,
33204700,Sagem,M313-P9,,,
33204800,Sagem,M313-PO,,,
33204900,Sagem,MC939M41F-P  ,,,
33205000,Sagem,M41S-P,,,
33205100,Alcatel,One Touch Gum DBBE1  ,,,
33205200,Sagem,M41P-P,,,
33205300,Sagem,M41F-B,,,
33205400,Sagem,M41S-B,,,
33205600,Sagem,M314-B0,,,
33205700,Sagem,M314-B5,,,
33205800,Sagem,M314-B9,,,
33205900,Sagem,M314-P0,,,
33206000,Sagem,M314-P5,,,
33206100,Sagem,M314-P9,,,
33206300,Alcatel,One Touch Easy DBBE1  ,,,
33206400,Alcatel,One Touch Easy DBBE1  ,,,
33206500,Sagem,MC810M314-B0  ,,,
33206600,Sagem,MC818M314-B5  ,,,
33206700,Sagem,MC815,,,
33206800,Sagem,MC819M314-B9  ,,,
33206900,Sagem,MC820M314-B0  ,,,
33207000,Sagem,MC823M314-B5  ,,,
33207100,Sagem,MC825M314-B5  ,,,
33207200,Sagem,MC826M314-B5  ,,,
33207300,Sagem,MC827M314-B5  ,,,
33207400,Sagem,MC829M314-B9  ,,,
33207500,Sagem,MC830M314-B0  ,,,
33207600,Sagem,MC835M314-B5  ,,,
33207700,Sagem,MC837M314-B5  ,,,
33207800,Sagem,MC838M314-B5  ,,,
33207900,Sagem,MC839M314-B9  ,,,
33208000,Sagem,MC840M314-B0  ,,,
33208100,Sagem,MC845M314-P5  ,,,
33208200,Sagem,MC849M314-P9  ,,,
