"35000420";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000430";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000440";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000460";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000470";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000480";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000488";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000491";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000492";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000493";"Nokia Mobile Phones Ltd";"RTE-3(RU) / 6091";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000500";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000501";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000510";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000520";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000530";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000540";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000560";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000570";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000580";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000588";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000591";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000592";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000593";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000594";"Nokia Mobile Phones Ltd";"NHM-5(NX) / 3310";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000600";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000601";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000610";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000620";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000630";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000640";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000660";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000670";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000680";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000688";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000691";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000692";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000693";"Nokia Mobile Phones Ltd";"NSM-3D / 8250";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000700";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000701";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000710";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000720";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000730";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000740";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000760";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000770";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000780";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000788";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000791";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000792";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000793";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000800";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000801";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000810";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000820";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000830";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000840";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000860";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000870";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000880";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000888";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000891";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000892";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000893";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000900";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000901";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000910";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000920";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000930";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000940";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000960";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000970";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000980";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000988";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000991";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000992";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35000993";"Nokia Mobile Phones Ltd";"NSE-1(NX)] / 5110";"British Approvals Board of Telecommunications (BABT)";"Europe"
"35001000";"Nokia Mobile Phones Ltd";"NSE-1(NY) / 5110i";"British Approvals Board of Telecommunications (BABT)";"Europe"
